asset,months,strategy_final_value,fixed_final_value,strategy_vs_fixed_pct,strategy_max_drawdown_pct,fixed_max_drawdown_pct,cash_end,max_cash_pct,risk_event_count,risk_raw_days
SPX,233,863.11,852.66,1.23,-33.71,-33.71,0.0,21.06,10,111
NDX,233,1814.65,1780.16,1.94,-36.96,-36.96,0.0,21.92,10,147
