date,CAPE,ECY,Buffett,VIX,VIXTerm,Dev200,Drawdown,WeeklyRSI,PutCall,BreadthRaw,Breadth,HY,B
1985-10-01,59.72222222222222,13.611111111111114,,,,,,,,,,,50.0
1985-10-02,59.72222222222222,13.611111111111114,,,,,,,,,,,50.0
1985-10-03,59.72222222222222,13.611111111111114,,,,,,,,,,,50.0
1985-10-04,59.72222222222222,13.611111111111114,,,,,,,,,,,50.0
1985-10-07,59.72222222222222,13.611111111111114,,,,,,,,,,,50.0
1985-10-08,59.72222222222222,13.611111111111114,,,,,,,,,,,50.0
1985-10-09,59.72222222222222,13.611111111111114,,,,,,,,,,,50.0
1985-10-10,59.72222222222222,13.611111111111114,,,,,,,,,,,50.0
1985-10-11,59.72222222222222,13.611111111111114,,,,,,,,,,,50.0
1985-10-14,59.72222222222222,13.611111111111114,,,,,,,,,,,50.0
1985-10-15,59.72222222222222,13.611111111111114,,,,,,,,,,,50.0
1985-10-16,59.72222222222222,13.611111111111114,,,,,,,,,,,50.0
1985-10-17,59.72222222222222,13.611111111111114,,,,,,,,,,,50.0
1985-10-18,59.72222222222222,13.611111111111114,,,,,,,,,,,50.0
1985-10-21,59.72222222222222,13.611111111111114,,,,,,,,,,,50.0
1985-10-22,59.72222222222222,13.611111111111114,,,,,,,,,,,50.0
1985-10-23,59.72222222222222,13.611111111111114,,,,,,,,,,,50.0
1985-10-24,59.72222222222222,13.611111111111114,,,,,,,,,,,50.0
1985-10-25,59.72222222222222,13.611111111111114,,,,,,,,,,,50.0
1985-10-28,59.72222222222222,13.611111111111114,,,,,,,,,,,50.0
1985-10-29,59.72222222222222,13.611111111111114,,,,,,,,,,,50.0
1985-10-30,59.72222222222222,13.611111111111114,,,,,,,,,,,50.0
1985-10-31,59.72222222222222,13.611111111111114,,,,,,,,,,,50.0
1985-11-01,61.66666666666667,65.27777777777777,,,,,,,,,,,50.0
1985-11-04,61.66666666666667,65.27777777777777,,,,,,,,,,,50.0
1985-11-05,61.66666666666667,65.27777777777777,,,,,,,,,,,50.0
1985-11-06,61.66666666666667,65.27777777777777,,,,,,,,,,,50.0
1985-11-07,61.66666666666667,65.27777777777777,,,,,,,,,,,50.0
1985-11-08,61.66666666666667,65.27777777777777,,,,,,,,,,,50.0
1985-11-11,61.66666666666667,65.27777777777777,,,,,,,,,,,50.0
1985-11-12,61.66666666666667,65.27777777777777,,,,,,,,,,,50.0
1985-11-13,61.66666666666667,65.27777777777777,,,,,,,,,,,50.0
1985-11-14,61.66666666666667,65.27777777777777,,,,,,,,,,,50.0
1985-11-15,61.66666666666667,65.27777777777777,,,,,,,,,,,50.0
1985-11-18,61.66666666666667,65.27777777777777,,,,,,,,,,,50.0
1985-11-19,61.66666666666667,65.27777777777777,,,,,,,,,,,50.0
1985-11-20,61.66666666666667,65.27777777777777,,,,,,,,,,,50.0
1985-11-21,61.66666666666667,65.27777777777777,,,,,,,,,,,50.0
1985-11-22,61.66666666666667,65.27777777777777,,,,,,,,,,,50.0
1985-11-25,61.66666666666667,65.27777777777777,,,,,,,,,,,50.0
1985-11-26,61.66666666666667,65.27777777777777,,,,,,,,,,,50.0
1985-11-27,61.66666666666667,65.27777777777777,,,,,,,,,,,50.0
