date,spx,ndx,CAPE,ECY,Buffett,V,VIX,VIXTerm,PutCall,S,Dev200,Drawdown,WeeklyRSI,T,HY,BreadthRaw,BreadthU,B,base,ndx_overheat,spx_div,ndx_div,heat_spx,heat_ndx,vix_panic,vix_backwardation,raw_band_spx,raw_band_ndx,band_spx,band_ndx,sell_days,sell_signal
1985-10-01,185.07000732421875,112.13999938964844,59.72222222222222,13.611111111111114,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
1985-10-02,184.05999755859372,110.8249969482422,59.72222222222222,13.611111111111114,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
1985-10-03,184.3600006103516,110.87000274658205,59.72222222222222,13.611111111111114,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
1985-10-04,183.22000122070312,110.0749969482422,59.72222222222222,13.611111111111114,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
1985-10-07,181.8699951171875,108.1999969482422,59.72222222222222,13.611111111111114,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
1985-10-08,181.8699951171875,107.16000366210938,59.72222222222222,13.611111111111114,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
1985-10-09,182.5200042724609,108.62999725341795,59.72222222222222,13.611111111111114,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
1985-10-10,182.77999877929688,109.43499755859376,59.72222222222222,13.611111111111114,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
1985-10-11,184.27999877929688,111.0500030517578,59.72222222222222,13.611111111111114,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
1985-10-14,186.3699951171875,113.18499755859376,59.72222222222222,13.611111111111114,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
1985-10-15,186.0800018310547,113.37999725341795,59.72222222222222,13.611111111111114,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
1985-10-16,187.97999572753903,114.31500244140624,59.72222222222222,13.611111111111114,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
1985-10-17,187.66000366210935,114.73999786376952,59.72222222222222,13.611111111111114,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
1985-10-18,187.0399932861328,114.31999969482422,59.72222222222222,13.611111111111114,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
1985-10-21,186.9600067138672,113.68000030517578,59.72222222222222,13.611111111111114,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
1985-10-22,188.0399932861328,114.44000244140624,59.72222222222222,13.611111111111114,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
1985-10-23,189.08999633789065,115.06500244140624,59.72222222222222,13.611111111111114,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
1985-10-24,188.5,115.48500061035156,59.72222222222222,13.611111111111114,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
1985-10-25,187.5200042724609,113.91000366210938,59.72222222222222,13.611111111111114,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
1985-10-28,187.75999450683597,113.81999969482422,59.72222222222222,13.611111111111114,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
1985-10-29,189.22999572753903,115.4000015258789,59.72222222222222,13.611111111111114,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
1985-10-30,190.07000732421875,115.7699966430664,59.72222222222222,13.611111111111114,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
1985-10-31,189.82000732421875,115.4800033569336,59.72222222222222,13.611111111111114,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
1985-11-01,191.52999877929688,116.2750015258789,61.66666666666667,65.27777777777777,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
1985-11-04,191.25,116.04000091552734,61.66666666666667,65.27777777777777,,,,,,,,,,,,,,,,False,False,False,,,False,False,missing,missing,,,0,False
