date,asset,strategy_value,fixed_value,cash,cash_pct,in_risk,price
2007-01-03,SPX,0.0,0.0,0.0,0.0,False,1416.5999755859375
2007-01-04,SPX,0.0,0.0,0.0,0.0,False,1418.3399658203125
2007-01-05,SPX,0.0,0.0,0.0,0.0,False,1409.7099609375
2007-01-08,SPX,0.0,0.0,0.0,0.0,False,1412.8399658203125
2007-01-09,SPX,0.0,0.0,0.0,0.0,False,1412.1099853515625
2007-01-10,SPX,0.0,0.0,0.0,0.0,False,1414.8499755859375
2007-01-11,SPX,0.0,0.0,0.0,0.0,False,1423.8199462890625
2007-01-12,SPX,0.0,0.0,0.0,0.0,False,1430.72998046875
2007-01-16,SPX,0.0,0.0,0.0,0.0,False,1431.9000244140625
2007-01-17,SPX,0.0,0.0,0.0,0.0,False,1430.6199951171875
2007-01-18,SPX,0.0,0.0,0.0,0.0,False,1426.3699951171875
2007-01-19,SPX,0.0,0.0,0.0,0.0,False,1430.5
2007-01-22,SPX,0.0,0.0,0.0,0.0,False,1422.949951171875
2007-01-23,SPX,0.0,0.0,0.0,0.0,False,1427.989990234375
2007-01-24,SPX,0.0,0.0,0.0,0.0,False,1440.1300048828125
2007-01-25,SPX,0.0,0.0,0.0,0.0,False,1423.9000244140625
2007-01-26,SPX,0.0,0.0,0.0,0.0,False,1422.1800537109375
2007-01-29,SPX,0.0,0.0,0.0,0.0,False,1420.6199951171875
2007-01-30,SPX,0.0,0.0,0.0,0.0,False,1428.8199462890625
2007-01-31,SPX,0.0,0.0,0.0,0.0,False,1438.239990234375
2007-02-01,SPX,1.0,1.0,0.0,0.0,False,1445.93994140625
2007-02-02,SPX,1.0016944502133365,1.0016944502133365,0.0,0.0,False,1448.3900146484375
2007-02-05,SPX,1.0007262050089742,1.0007262050089742,0.0,0.0,False,1446.989990234375
2007-02-06,SPX,1.0014247193363692,1.0014247193363692,0.0,0.0,False,1448.0
2007-02-07,SPX,1.0028217479911592,1.0028217479911592,0.0,0.0,False,1450.02001953125
2007-02-08,SPX,1.0016391532729878,1.0016391532729878,0.0,0.0,False,1448.31005859375
2007-02-09,SPX,0.9945503387887353,0.9945503387887353,0.0,0.0,False,1438.06005859375
2007-02-12,SPX,0.9913067300175431,0.9913067300175431,0.0,0.0,False,1433.3699951171875
2007-02-13,SPX,0.9988381732930129,0.9988381732930129,0.0,0.0,False,1444.260009765625
