asset,date,action,signal_date,amount,cash_pct,base,cape_score,buffett_score
SPX,2018-11-02,risk_off,2018-11-01,50.82073340857414,0.2,52.60340007863088,94.16666666666667,93.05555555555556
SPX,2018-12-18,risk_on,2018-12-17,50.96550929793924,0.0,33.67763021941262,92.5,94.72222222222221
SPX,2022-03-04,risk_off,2022-03-03,92.24191029417842,0.2,38.58294915325772,94.16666666666667,91.38888888888889
SPX,2022-03-08,risk_on,2022-03-07,92.2446190050657,0.0,36.348186822183514,94.16666666666667,91.38888888888889
SPX,2022-04-25,risk_off,2022-04-22,92.42797062632079,0.2,50.256305871354826,91.94444444444444,93.05555555555556
SPX,2022-05-03,risk_on,2022-05-02,92.44678791579419,0.0,37.531782111878165,91.38888888888889,89.16666666666667
SPX,2025-03-24,risk_off,2025-03-21,133.57874332165395,0.20000000000000004,47.82552588097592,95.27777777777777,98.05555555555556
SPX,2025-04-02,risk_on,2025-04-01,133.73933252242364,0.0,56.55097845697456,87.5,89.72222222222223
SPX,2026-04-02,risk_off,2026-04-01,155.68672785005614,0.19999999999999998,56.52140522103388,93.61111111111111,94.72222222222221
SPX,2026-04-22,risk_on,2026-04-21,155.9842156202871,0.0,73.45099550980675,93.61111111111111,94.72222222222221
NDX,2018-11-26,risk_off,2018-11-23,71.37240663386768,0.2,48.251242070656886,94.16666666666667,93.05555555555556
NDX,2018-12-18,risk_on,2018-12-17,71.47457701724765,0.0,33.67763021941262,92.5,94.72222222222221
NDX,2022-02-25,risk_off,2022-02-24,163.72664362970355,0.2,39.92835345471125,96.38888888888889,93.61111111111111
NDX,2022-03-08,risk_on,2022-03-07,163.74269211336838,0.0,36.348186822183514,94.16666666666667,91.38888888888889
NDX,2022-03-23,risk_off,2022-03-22,169.23382798116288,0.2,45.41070420097669,94.16666666666667,91.38888888888889
NDX,2022-05-03,risk_on,2022-05-02,169.37061138527542,0.0,37.531782111878165,91.38888888888889,89.16666666666667
NDX,2025-03-20,risk_off,2025-03-19,244.7063902635573,0.2,47.00070939251935,95.27777777777777,98.05555555555556
NDX,2025-04-02,risk_on,2025-04-01,245.08477969299565,0.0,56.55097845697456,87.5,89.72222222222223
NDX,2026-04-06,risk_off,2026-04-02,303.9383600630888,0.2,56.89378060901671,93.61111111111111,94.72222222222221
NDX,2026-04-22,risk_on,2026-04-21,304.4741823589737,0.0,73.45099550980675,93.61111111111111,94.72222222222221
